Date,Sport,Google_Trends_Popularity,YouTube_Views_Score,Major_Event
6/1/2024,Football,80,45,1
7/1/2024,Football,70,44,0
8/1/2024,Football,52,40,0
9/1/2024,Football,57,43,0
10/1/2024,Football,53,43,0
11/1/2024,Football,46,40,0
12/1/2024,Football,41,41,0
1/1/2025,Football,38,38,0
2/1/2025,Football,41,39,0
3/1/2025,Football,43,41,0
4/1/2025,Football,42,38,0
1/1/2004,Basketball,39,0,0
2/1/2004,Basketball,42,0,0
3/1/2004,Basketball,64,0,0
4/1/2004,Basketball,31,0,0
5/1/2004,Basketball,25,0,0
6/1/2004,Basketball,23,0,0
7/1/2004,Basketball,19,0,0
8/1/2004,Basketball,29,0,1
9/1/2004,Basketball,23,0,0
10/1/2004,Basketball,26,0,0
11/1/2004,Basketball,38,0,0
12/1/2004,Basketball,36,0,0
1/1/2005,Basketball,40,0,0
2/1/2005,Basketball,45,0,0
3/1/2005,Basketball,65,0,0
4/1/2005,Basketball,30,0,0
5/1/2005,Basketball,25,0,0
6/1/2005,Basketball,22,0,0
7/1/2005,Basketball,18,0,0
8/1/2005,Basketball,19,0,0
9/1/2005,Basketball,23,0,0
10/1/2005,Basketball,27,0,0
11/1/2005,Basketball,39,0,0
12/1/2005,Basketball,37,0,0
1/1/2006,Basketball,41,0,0
2/1/2006,Basketball,42,0,0
3/1/2006,Basketball,63,0,0
4/1/2006,Basketball,26,0,0
5/1/2006,Basketball,24,0,0
6/1/2006,Basketball,20,0,0
7/1/2006,Basketball,19,0,0
8/1/2006,Basketball,32,0,0
9/1/2006,Basketball,25,0,0
10/1/2006,Basketball,26,0,0
11/1/2006,Basketball,38,0,0
12/1/2006,Basketball,35,0,0
1/1/2007,Basketball,37,0,0
2/1/2007,Basketball,43,0,0
3/1/2007,Basketball,62,0,0
4/1/2007,Basketball,26,0,0
5/1/2007,Basketball,21,0,0
6/1/2007,Basketball,19,0,0
7/1/2007,Basketball,17,0,0
8/1/2007,Basketball,19,0,0
9/1/2007,Basketball,24,0,0
10/1/2007,Basketball,24,0,0
11/1/2007,Basketball,35,0,0
12/1/2007,Basketball,32,0,0
1/1/2008,Basketball,34,68,0
2/1/2008,Basketball,40,74,0
3/1/2008,Basketball,51,73,0
4/1/2008,Basketball,24,63,0
5/1/2008,Basketball,21,57,0
6/1/2008,Basketball,18,58,0
7/1/2008,Basketball,18,59,0
8/1/2008,Basketball,33,100,1
9/1/2008,Basketball,17,49,0
10/1/2008,Basketball,22,50,0
11/1/2008,Basketball,32,56,0
12/1/2008,Basketball,32,58,0
1/1/2009,Basketball,34,58,0
2/1/2009,Basketball,37,61,0
3/1/2009,Basketball,57,71,0
4/1/2009,Basketball,24,53,0
5/1/2009,Basketball,21,53,0
6/1/2009,Basketball,18,55,0
7/1/2009,Basketball,15,46,0
8/1/2009,Basketball,16,43,0
9/1/2009,Basketball,22,46,0
10/1/2009,Basketball,22,46,0
11/1/2009,Basketball,31,50,0
12/1/2009,Basketball,29,46,0
1/1/2010,Basketball,35,54,0
2/1/2010,Basketball,36,53,0
3/1/2010,Basketball,57,55,0
4/1/2010,Basketball,25,47,0
5/1/2010,Basketball,20,42,0
6/1/2010,Basketball,17,41,0
7/1/2010,Basketball,16,38,0
8/1/2010,Basketball,20,47,0
9/1/2010,Basketball,24,46,1
10/1/2010,Basketball,22,40,0
11/1/2010,Basketball,33,45,0
12/1/2010,Basketball,32,42,0
1/1/2011,Basketball,37,44,0
2/1/2011,Basketball,41,51,0
3/1/2011,Basketball,59,52,0
4/1/2011,Basketball,26,42,0
5/1/2011,Basketball,20,39,0
6/1/2011,Basketball,19,41,0
7/1/2011,Basketball,15,34,0
8/1/2011,Basketball,16,38,0
9/1/2011,Basketball,23,39,0
10/1/2011,Basketball,21,37,0
11/1/2011,Basketball,35,43,0
12/1/2011,Basketball,37,43,0
1/1/2012,Basketball,40,42,0
2/1/2012,Basketball,43,46,0
3/1/2012,Basketball,59,43,0
4/1/2012,Basketball,24,38,0
5/1/2012,Basketball,22,38,0
6/1/2012,Basketball,21,37,0
7/1/2012,Basketball,29,54,0
8/1/2012,Basketball,33,59,1
9/1/2012,Basketball,18,33,0
10/1/2012,Basketball,22,34,0
11/1/2012,Basketball,37,40,0
12/1/2012,Basketball,35,41,0
1/1/2013,Basketball,37,43,0
2/1/2013,Basketball,48,49,0
3/1/2013,Basketball,62,50,0
4/1/2013,Basketball,31,47,0
5/1/2013,Basketball,22,36,0
6/1/2013,Basketball,22,38,0
7/1/2013,Basketball,17,36,0
8/1/2013,Basketball,16,37,0
9/1/2013,Basketball,21,39,0
10/1/2013,Basketball,24,38,0
11/1/2013,Basketball,38,44,0
12/1/2013,Basketball,37,43,0
1/1/2014,Basketball,43,40,0
2/1/2014,Basketball,48,43,0
3/1/2014,Basketball,73,40,0
4/1/2014,Basketball,32,40,0
5/1/2014,Basketball,23,38,0
6/1/2014,Basketball,19,39,0
7/1/2014,Basketball,17,36,0
8/1/2014,Basketball,21,46,1
9/1/2014,Basketball,28,58,0
10/1/2014,Basketball,23,44,0
11/1/2014,Basketball,35,40,0
12/1/2014,Basketball,38,40,0
1/1/2015,Basketball,43,39,0
2/1/2015,Basketball,45,41,0
3/1/2015,Basketball,69,44,0
4/1/2015,Basketball,32,40,0
5/1/2015,Basketball,22,38,0
6/1/2015,Basketball,22,41,0
7/1/2015,Basketball,16,34,0
8/1/2015,Basketball,17,36,0
9/1/2015,Basketball,26,43,0
10/1/2015,Basketball,23,36,0
11/1/2015,Basketball,37,40,0
12/1/2015,Basketball,41,40,0
1/1/2016,Basketball,50,38,0
2/1/2016,Basketball,56,39,0
3/1/2016,Basketball,73,43,0
4/1/2016,Basketball,32,41,0
5/1/2016,Basketball,24,44,0
6/1/2016,Basketball,23,40,0
